CODCLIENTE;NOME;CIDADE;UF;DATA;NRODOCUMENTO;VENDEDOR;CODPRODUTO;PRODUTO;CODCOR;FAMILIA;GRUPO;MARCA;QTDE;PRECO;PRECOCUSTO;VALTOTAL;TIPO;
5410;SUPERMERCADOS ALVES FERREIRA LTDA;Blumenau;SC;01/08/2026;294742;VENDEDOR: RODRIGO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;2000;3,49;3,84;6980;VENDA;
5408;SUPERMERCADOS ALVES FERREIRA LTDA;Blumenau;SC;01/08/2026;294743;VENDEDOR: RODRIGO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;2500;3,49;3,84;8725;VENDA;
5407;SUPERMERCADOS ALVES FERREIRA LTDA;Blumenau;SC;01/08/2026;294744;VENDEDOR: RODRIGO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;2500;3,49;3,84;8725;VENDA;
5409;SUPERMERCADOS ALVES FERREIRA LTDA;Blumenau;SC;01/08/2026;294745;VENDEDOR: RODRIGO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;2000;3,49;3,84;6980;VENDA;
5412;SUPERMERCADOS ALVES FERREIRA LTDA;Penha;SC;01/08/2026;294746;VENDEDOR: RODRIGO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;3000;3,49;3,84;10470;VENDA;
5413;SUPERMERCADOS ALVES FERREIRA LTDA;Pomerode;SC;01/08/2026;294747;VENDEDOR: RODRIGO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;2000;3,49;3,84;6980;VENDA;
1414;ATACADAO S.A.;São José;SC;01/08/2026;294748;OPERACAO BAUDUCCO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;2430;3,99;3,84;9695,7;VENDA;
4890;ATACADAO S.A.;Florianópolis;SC;01/08/2026;294749;OPERACAO BAUDUCCO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;2430;3,99;3,84;9695,7;VENDA;
2296;ATACADAO S.A;Biguaçu;SC;01/08/2026;294750;OPERACAO BAUDUCCO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;1620;3,99;3,84;6463,8;VENDA;
1415;ATACADAO S.A.;Florianópolis;SC;01/08/2026;294751;OPERACAO BAUDUCCO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;1620;3,99;3,84;6463,8;VENDA;
4467;ATACADAO S.A.;Itajaí;SC;01/08/2026;294752;OPERACAO BAUDUCCO;40004053;VISCONTI BISNAGUINHA 240G;;PRATA;MERCEARIA;VISCONTI;648;3,88;3,07;2514,24;VENDA;
4467;ATACADAO S.A.;Itajaí;SC;01/08/2026;294752;OPERACAO BAUDUCCO;243490;BAUDUCCO PAO INTEGRAL 390G;;PRATA;MERCEARIA;BAUDUCCO;360;5,98;4,81;2152,8;VENDA;
4467;ATACADAO S.A.;Itajaí;SC;01/08/2026;294752;OPERACAO BAUDUCCO;243489;BAUDUCCO PAO TRADICIONAL 390G;;PRATA;MERCEARIA;BAUDUCCO;810;5,06;4,07;4098,6;VENDA;
4467;ATACADAO S.A.;Itajaí;SC;01/08/2026;294752;OPERACAO BAUDUCCO;108279;VISCONTI PAO INTEGRAL 400G;;PRATA;MERCEARIA;VISCONTI;810;5,27;4,27;4268,7;VENDA;
4467;ATACADAO S.A.;Itajaí;SC;01/08/2026;294753;OPERACAO BAUDUCCO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;2430;3,99;3,84;9695,7;VENDA;
4466;ATACADAO S.A.;Blumenau;SC;01/08/2026;294754;OPERACAO BAUDUCCO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;1620;3,99;3,84;6463,8;VENDA;
4466;ATACADAO S.A.;Blumenau;SC;01/08/2026;294755;OPERACAO BAUDUCCO;40004053;VISCONTI BISNAGUINHA 240G;;PRATA;MERCEARIA;VISCONTI;288;3,88;3,07;1117,44;VENDA;
4466;ATACADAO S.A.;Blumenau;SC;01/08/2026;294755;OPERACAO BAUDUCCO;243489;BAUDUCCO PAO TRADICIONAL 390G;;PRATA;MERCEARIA;BAUDUCCO;810;5,06;4,07;4098,6;VENDA;
5411;SUPERMERCADOS ALVES FERREIRA LTDA;Blumenau;SC;01/08/2026;294756;VENDEDOR: RODRIGO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;1500;3,49;3,84;5235;VENDA;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;102400;AVIACAO MANTEIGA TABLETE 200G COM SAL;;OURO;REFRIGERADO;AVIAÇÃO;5;-14,81;9,59;-74,05;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12183959;CHAMYTO BIG LEITE FERM 6X120G CONJUNTO;;PRATA;REFRIGERADO;NESTLE;3;-10,74;6,27;-32,22;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12277332;CHANDELLE 180g CHOCOLATE;;OURO;REFRIGERADO;NESTLE;2;-5,49;3,13;-10,98;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12281365;CHANDELLE 360g CHOCOLATE BRANCO;;OURO;REFRIGERADO;NESTLE;2;-8,99;5,28;-17,98;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12334187;CHAMBINHO PETIT 320g MORANGO;;OURO;REFRIGERADO;NESTLE;4;-7,99;4,91;-31,96;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12342556;NESTLE IOG 170g NATURAL COM MEL;;PRATA;REFRIGERADO;NESTLE;5;-2,99;1,84;-14,95;DEVOLUCAO;
