PPP;R$ 1.000,00;;;
SALARIO;R$ 1.951,00;COMISSAO;1%;
;;;;
MARCA;FATURAMENTO;POSITIVACAO;TROCA;TROCA_PERCENTUAL
NESTLE;R$ 200,00;R$ 200,00;R$ 200,00;2,00%
ZINHO;R$ 100,00;R$ 100,00;R$ 100,00;2,00%
LIFE;R$ 100,00;R$ 100,00;R$ 100,00;2,00%
LIGHTSWEET;R$ 100,00;R$ 100,00;R$ 50,00;0,50%
GALBANI;R$ 100,00;R$ 100,00;R$ 100,00;2,00%
BAUDUCCO;R$ 100,00;R$ 100,00;R$ 50,00;0,50%
VISCONTI;R$ 100,00;R$ 100,00;R$ 50,00;0,50%
NOTCO;R$ 100,00;R$ 100,00;R$ 50,00;0,50%
PECCIN;R$ 100,00;R$ 100,00;R$ 50,00;0,50%
ACAI FUTURO;R$ 100,00;R$ 100,00;R$ 50,00;0,50%
